contracts_punish,Period
2,plus group two 
contracts_chat,
3,40/8 = 5
contracts_chat,
5,use simple logic
contracts_chat,
5,yeah
contracts_chat,
5,but group 2 only has 3 people
contracts_chat,
3,so group 2 is the one that is messing us up
contracts_chat,
3,like 7?
contracts_chat,
2,they add about 22 everytime
contracts_chat,
5,and get dimished returns? I think not
contracts_chat,
3,not that we invest 5
contracts_chat,
5,so they've been investing 7 each to reach 21
contracts_chat,
3,"yeah, its unfair"
contracts_chat,
5,diminished*
contracts_chat,
5,they are using less people to reach the same amount as us
contracts_chat,
3,but im not going down to make it better for them
contracts_chat,
5,invest four or so
contracts_chat,
5,make it up for you
contracts_chat,
5,make more $$$$$
contracts_chat,
GroupMember,text
contracts_chat,
5,it's the last round
contracts_chat,
5,just do 4
contracts_chat,
3,ALL BETS ARE OFF!!!
contracts_chat,
2,with NO deductions?
contracts_chat,
3,jk
contracts_chat,
4,do 4 for christs sake
contracts_chat,
5,do 4 each
contracts_chat,
5,it amkes by far the most sense
contracts_chat,
3,fine
contracts_chat,
5,if we all bet like that we clearly all lose out. good faith agreement for investment of only 4-5?
contracts_chat,
5,and the one round we did it we made the most amount of money
contracts_chat,
2,yesss
contracts_chat,
2,#1 has been silent
contracts_chat,
3,i know right?
contracts_chat,
1,;)
contracts_chat,
2,guess they're not a team player
contracts_chat,
3,sneaky
contracts_chat,
2,:P
contracts_chat,
5,probably a slytherin 
contracts_chat,
2,HAHA
contracts_chat,
3,well said
contracts_chat,
2,so 4
contracts_chat,
5,4
