contracts_punish,Period
contracts_chat,
5,or 5 each
contracts_chat,
4,from the ppl who went over
contracts_chat,
1,Just deduct who ever is higher
contracts_chat,
GroupMember,text
contracts_chat,
1,the second round was great
contracts_chat,
2,agree
contracts_chat,
5,yes
contracts_chat,
3,mmmhmm
contracts_chat,
4,a+
contracts_chat,
1,the two people who did 7tokens in the first round
contracts_chat,
4,Being selfish is going to get you more than everyone else each time but if we work as a team we will get more in total therefore more for you in the long run
contracts_chat,
1,that was funny
contracts_chat,
3,im not sure that one person on group 2 putting in 12 all the time is getting the message
contracts_chat,
3,lol
contracts_chat,
2,i think between 5-6 is fine
contracts_chat,
5,yeah i agree
contracts_chat,
4,let's do that
contracts_chat,
3,"i agree, with what ou are saying"
contracts_chat,
3,okay
contracts_chat,
1,agreed
contracts_chat,
3,i will put dow 5 the next 2 rounds
contracts_chat,
5,"yeah so how much should we put in?"""
contracts_chat,
4,5
contracts_chat,
5,its been a range from 5 to 8 for our group
contracts_chat,
5,ok
contracts_chat,
2,pressing continue...
contracts_chat,
3,if that one person puts in 12 again penelaize them 10
contracts_chat,
GroupMember,text
contracts_chat,
5,have u guys been writing down all ur payoffs
contracts_chat,
5,we need to scare group 2 into investing less so we can get total investment down to 40
contracts_chat,
1,Literally I'm so confused on whether or not we're doing well. 
contracts_chat,
1,OK
contracts_chat,
5,me too
contracts_chat,
3,yeah i have
contracts_chat,
2,ok
contracts_chat,
4,or we could all invest 5 instead of 6
contracts_chat,
1,why not both
contracts_chat,
2,are we doing well?
contracts_chat,
1,"we invest 5, and we deduct group 2"
contracts_chat,
5,yeah that would be optimal. and should we deduct from group 2 if they do more than 5?
contracts_chat,
3,the total pot has decreased the last 2 turns and my payoffs are looking better. We are all making like 160/170 a turn
contracts_chat,
4,sounds good ^
contracts_chat,
4,we should be trying to get the total at 40
contracts_chat,
2,agreed
contracts_chat,
3,okay
contracts_chat,
5,so everyone do 5
contracts_chat,
3,im not spending a lot of money on deductions now either
contracts_chat,
3,i would say so
contracts_chat,
5,and deduct from group 2 if they do more than 5
contracts_chat,
3,and deduct from group 2 
contracts_chat,
5,agreed?
contracts_chat,
4,ok
contracts_chat,
2,so we all invest 5?
contracts_chat,
3,yup
contracts_chat,
2,how much total should be spending on deductions?
contracts_chat,
5,yes
contracts_chat,
1,yup
contracts_chat,
4,yes
contracts_chat,
2,ok
contracts_chat,
1,deduct 2 points ?
contracts_chat,
3,ok
contracts_chat,
GroupMember,text
contracts_chat,
5,im pissed. that person from group 2 who invested 9...i deducted 3 points lol
contracts_chat,
1,lol i got so mad i deducted 20 points from that guy
contracts_chat,
3,wow group 2 
contracts_chat,
3,hahaha
contracts_chat,
1,twice
contracts_chat,
5,hahah stupid
contracts_chat,
3,i deducted 5
contracts_chat,
4,what the fuck group 2
contracts_chat,
5,hahah nice work team. hopefully that scared that person
contracts_chat,
2,can we try that we invest in like 6 and just make sure that they don't go over 5
contracts_chat,
4,alright lets press continue
contracts_chat,
2,?
contracts_chat,
5,the other members in group two kept theirs at 5-6 so thats good. keep deducting if they do past 5
contracts_chat,
3,im fine with that
contracts_chat,
3,yup
contracts_chat,
4,same
contracts_chat,
5,so we do 6 now?
contracts_chat,
3,sure
contracts_chat,
5,okay
contracts_chat,
2,yup
contracts_chat,
5,we're on round 14 right?
contracts_chat,
1,kay
contracts_chat,
5,13
contracts_chat,
5,i mean
contracts_chat,
1,13
contracts_chat,
5,ok 
contracts_chat,
GroupMember,text
contracts_chat,
3,it worked!
contracts_chat,
2,keep the same (6) for the last one or do something else?
contracts_chat,
5,yeah it did!
contracts_chat,
4,keep it the same
contracts_chat,
1,I wanna say keep the same
contracts_chat,
1,Last one guys. I hope everyone is going to eat well tonight.
contracts_chat,
5,yeah lets keep it
contracts_chat,
3,same
contracts_chat,
2,ok
contracts_chat,
5,haha
contracts_chat,
1,I've a feeling that group 2 guy is gonna go crazy
contracts_chat,
5,hahah hes probably pissed
contracts_chat,
2,"last deduction, go crazy!"
contracts_chat,
3,haha
contracts_chat,
5,this is fun
contracts_chat,
1,Now continue
contracts_chat,
2,too long..
contracts_chat,
3,40 secs...
contracts_chat,
5,lol yeah but we all got he hang of it now!
contracts_chat,
5,the*
contracts_chat,
2,nice working with ya'll 
contracts_chat,
1,i dont think they are gonna reuse experiments
contracts_chat,
1,yeah good luck for finals 
contracts_chat,
1,bye
contracts_chat,
3,byeee
