contracts_punish,Period
contracts_chat,
3,
contracts_chat,
GroupMember,text
contracts_chat,
5,Okay we all have to invest way less...
contracts_chat,
4,if we all do 5/6 we'll get the most
contracts_chat,
5,dont do 12
contracts_chat,
4,investment of 12 was a poor choice
contracts_chat,
4,cuz group 2 isnt changing.
contracts_chat,
5,Also are we still deducting from Group 2? 
contracts_chat,
4,yeah
contracts_chat,
5,very haaha
contracts_chat,
3,assme we have an extra cause someones gonna do 12
contracts_chat,
4,definitely
contracts_chat,
1,Should we keep the investment in the middle? 5-8 range?
contracts_chat,
1,"Aye, Ae Captain!!!!!!!!"
contracts_chat,
5,yaa
contracts_chat,
3,about 4 or 5 is good and deduct from 2
contracts_chat,
5,did u deduct from the group 2 person
contracts_chat,
4,yeah I think its bad if we all put high numbers
contracts_chat,
3,i deducted last roubd
contracts_chat,
2,yeah should we still deduct?
contracts_chat,
3,1/15 is easy for each of us
contracts_chat,
4,do you think deducting helped?
contracts_chat,
4,whats this 1/15 lol
contracts_chat,
1,I didn't deduct
contracts_chat,
2,i personally have no idea haha
contracts_chat,
5,if we deductdo u think they will invest less 
contracts_chat,
2,i deducted both rounds but idk if it did anything
contracts_chat,
5,me to
contracts_chat,
3,thats the hope with deducting
contracts_chat,
1,I'd say no to deductingh
contracts_chat,
GroupMember,text
contracts_chat,
5,"Question, are we supposed to be adding in the 88.8 for each round?"
contracts_chat,
5,There isn't a column for it.
contracts_chat,
4,it automatically gets added in your total payoff
contracts_chat,
2,its already calculated
contracts_chat,
2,just copy
contracts_chat,
3,im deducting on when g2 is 9 or over but we should invest less guys its hurting all of us 
contracts_chat,
2,whatever is on your screen
contracts_chat,
4,you dont put it in a column
contracts_chat,
3,our best round was when the total was 44
contracts_chat,
5,"Okay, okay"
contracts_chat,
4,yeah when we invest too much we all get less
contracts_chat,
3,at least for me perssonally 
contracts_chat,
2,agreed
contracts_chat,
5,At least the investments balanced out that time 29-29
contracts_chat,
5,yupp
contracts_chat,
1,agree
contracts_chat,
4,me too it was when the total was 44
contracts_chat,
4,yeah this is getting better
contracts_chat,
4,whats everyones totals lol
contracts_chat,
5,if 2 is high tokens then deduct from them
contracts_chat,
5,lets do 5 
contracts_chat,
2,sounds good
contracts_chat,
3,i taxed the shit outta that kid doin 12
contracts_chat,
1,okay
contracts_chat,
5,Yeah what a dickpocket
contracts_chat,
4,good
contracts_chat,
GroupMember,text
contracts_chat,
1,??????????????????????????????????????????????????????
contracts_chat,
1,
contracts_chat,
4,everyone do 5 or 6 and we'll make the most.
contracts_chat,
1,ok
contracts_chat,
3,ok
contracts_chat,
4,bc group 2 went down
contracts_chat,
4,kkkk
contracts_chat,
3,cunt?
contracts_chat,
5,Hopefully they don't go back up this time
contracts_chat,
3,inue
contracts_chat,
4,continue
contracts_chat,
5,Stick at 6
contracts_chat,
1,ok
contracts_chat,
4,okay
contracts_chat,
5,:)
contracts_chat,
GroupMember,text
contracts_chat,
5,lets finish this up and go get drunk
contracts_chat,
1,Continue!!!!
contracts_chat,
5,Group 2 is a bunch of weenies
contracts_chat,
1,oscar meyers!!!!
contracts_chat,
4,hahaha deal
contracts_chat,
3,^^^
contracts_chat,
1,foot longs!
contracts_chat,
1,Should we do 7?
contracts_chat,
5,im down
contracts_chat,
4,thats kinda high
contracts_chat,
4,I was thinkin of doing 5 or 6
contracts_chat,
5,ive been doing 6 the past 4
contracts_chat,
5,i feel like group 2 is gonna go balls in and do 12 
contracts_chat,
4,we should go lower than so the overall number isnt too high
contracts_chat,
5,6?
contracts_chat,
1,okay so 5?
contracts_chat,
5,5
contracts_chat,
4,5
contracts_chat,
5,hurry!!
contracts_chat,
5,ahhh
contracts_chat,
5,
