contracts_punish,Period
contracts_chat,
1,7 appeared to work better
contracts_chat,
5,Should we still do 7?
contracts_chat,
4,we should all invest 8 instead of 6.
contracts_chat,
3,why 8
contracts_chat,
5,No 8 is too much our payoff will go down
contracts_chat,
3,"we got this, what is there left to say?"
contracts_chat,
4,instead of 7 i mean.
contracts_chat,
1,I think we should have assigned nymbers to each person
contracts_chat,
2,Because group 2 never invests below 10
contracts_chat,
4,but the total payoff is higher than when we all invested 7.
contracts_chat,
1,"I think 2 people should do 6, and the rest 7"
contracts_chat,
1,if group 2 raises it to above 15 twice in a row we shoud all raise to 6 to keep it even
contracts_chat,
3,i agree
contracts_chat,
1,which 2 people then?
contracts_chat,
2,"nutin' lets keep up the good work, git muny"
contracts_chat,
2,"nope, 5"
contracts_chat,
4,okay let's try this. i can do 6.
contracts_chat,
2,why fix what aint broken
contracts_chat,
1,okay
contracts_chat,
3,if they raise it shouldn't affect us too much
contracts_chat,
2,me too
contracts_chat,
3,if we all do we'll all make less
contracts_chat,
1,because if they all raise to 12 we will lose money
contracts_chat,
3,ok so 2 and 4 are doing 6
contracts_chat,
1,okay so person 4 and 2 do 6
contracts_chat,
1,a lot of money
contracts_chat,
1,and everyone else is 7
contracts_chat,
5,Okay let's try this.
contracts_chat,
3,sounds good
contracts_chat,
2,ok
contracts_chat,
1,good
contracts_chat,
3,but I really dont think they will
contracts_chat,
5,And if it works we can switch it around next time
contracts_chat,
2,its working great lets keep up the good work
contracts_chat,
2,ok
contracts_chat,
GroupMember,text
contracts_chat,
1,that last one worked well
contracts_chat,
3,group 2 is all over the place
contracts_chat,
1,yeah they
contracts_chat,
4,LOLS.
contracts_chat,
1,are
contracts_chat,
1,when they keep it low
contracts_chat,
1,we do better
contracts_chat,
3,we have been in 35 range the whole time
contracts_chat,
5,Should we all do 7 then? 
contracts_chat,
5,im making bank over here
contracts_chat,
3,they go form 24-9
contracts_chat,
5,group 2 is crazy unpredictable..
contracts_chat,
3,yup
contracts_chat,
3,can they talk to each other?
contracts_chat,
2,"yup, lovin it"
contracts_chat,
1,no they cant
contracts_chat,
5,No they can't
contracts_chat,
3,ohh
contracts_chat,
5,so what do you guys want to do
contracts_chat,
1,I liked the 7 and 6 idea
contracts_chat,
3,6
contracts_chat,
2,switch it up
contracts_chat,
1,6?
contracts_chat,
2,who is playing 6
contracts_chat,
3,if all 5 of us do 6 then we have 30
contracts_chat,
1,okay 
contracts_chat,
5,Should we all do 6?
contracts_chat,
1,let's do 6 then
contracts_chat,
2,6 for all then
contracts_chat,
5,Okay I agree.
contracts_chat,
3,yea
contracts_chat,
GroupMember,text
contracts_chat,
1,should we stick with 6
contracts_chat,
5,Group 2 is once again overinvesting
contracts_chat,
3,Group 2 is screwing us
contracts_chat,
1,or try 7 again
contracts_chat,
5,Yeah I vote we stick with 6
contracts_chat,
2,6 works
contracts_chat,
1,6
contracts_chat,
1,okay
contracts_chat,
4,kk.
contracts_chat,
5,i dont like group two investing so much
contracts_chat,
3,i feel like they are getitng more money than us
contracts_chat,
1,"its the last 2 rounds and i guarunte some of group 2 is going to put 12, we should all raise to 12 to maximize money"
contracts_chat,
1,over group 2
contracts_chat,
1,we would all make the same
contracts_chat,
3,if we all go to twelve we get negative money
contracts_chat,
5,"Kind of frustrating, yeah"
contracts_chat,
2,"that deosnt maximize, that minimizes"
contracts_chat,
2,thank you 3
contracts_chat,
1,11?
contracts_chat,
5,hopefully they'll go lower this time
contracts_chat,
4,well yeah if we all 6 and that one person overinvests.
contracts_chat,
2,no
contracts_chat,
5,what if we invest less then
contracts_chat,
2,its the same principle
contracts_chat,
3,then we get less of the payoff
contracts_chat,
5,curse u math
contracts_chat,
2,you'll get proportionaltely less and do them a favor by keeping the total low
contracts_chat,
1,we have to increase
contracts_chat,
5,so 6? 
contracts_chat,
2,6 it is
contracts_chat,
2,we dont have to do anything 
contracts_chat,
2,5
contracts_chat,
GroupMember,text
contracts_chat,
1,6?
contracts_chat,
5,6 again.
contracts_chat,
3,alright last round
contracts_chat,
5,last round go big or go home
contracts_chat,
1,yes. good
contracts_chat,
3,it seems like 2 gets the hang of it
contracts_chat,
1,11?
contracts_chat,
2,"that doesnt make sense, we just talked about this..."
contracts_chat,
1,ha lets hope
contracts_chat,
5,I hope they stick to what they're doing haha
contracts_chat,
5,im listening to 3 hes the only one making sense in this group
contracts_chat,
3,but what if we did 5
contracts_chat,
5,wouldn't that be too low? 
contracts_chat,
3,"yeah, 1, putting in more tokens after 40 decreases the payoff"
contracts_chat,
4,too low.
contracts_chat,
3,they are around 16 at this point if 2 of us did 5
contracts_chat,
1,"shit, where does it say that?"
contracts_chat,
3,if would bring the total towards 40
contracts_chat,
3,back sheet of the instruction packet
contracts_chat,
5,do the caluclater thing on the next page
contracts_chat,
5,itll tell u
contracts_chat,
2,dont worry about it just put in 5
