contracts_punish,Period
contracts_chat,
1,make sure we keep deducting from group 2. theyll get the hint and well end up benefitting
contracts_chat,
2,clearly no one is going to do 5. 
contracts_chat,
1,5 def
contracts_chat,
5,but if we all put in 7 and continue deductions that works
contracts_chat,
4,okie
contracts_chat,
3,who put 12?
contracts_chat,
5,okay
contracts_chat,
3,alternate to ensure its staying at around 45-50
contracts_chat,
1,i agree with member 5
contracts_chat,
4,that was group 2 i thot
contracts_chat,
2,how many deductions should we put
contracts_chat,
4,T
contracts_chat,
2,nope it was in group one
contracts_chat,
3,no
contracts_chat,
5,wait so who alternates when
contracts_chat,
4,7**
contracts_chat,
2,someone needs to be voted off the island 
contracts_chat,
4,and whoever did got the highest payout :/
contracts_chat,
2,if we put 5 each its 100 deducted
contracts_chat,
4,lol 
contracts_chat,
4,how about no one alternates
contracts_chat,
3,everyone has to do 5
contracts_chat,
4,k
contracts_chat,
1,5 it is
contracts_chat,
4," jsut do 7, its easy to folle"
contracts_chat,
3,if anyone goes over 5 deduct from them
contracts_chat,
5,yeah if we do 5 deductiona nd all 7 we are good
contracts_chat,
2,lets go 2 rounds no alternating and putting 5 deduction points
contracts_chat,
1,we need to get them down to 0 in group two so they prefer to keep their coins
contracts_chat,
4,got it
contracts_chat,
3,if group 2 goes over 5 deduct
contracts_chat,
2,cool\
contracts_chat,
2,let's see if you all are telling the truth 
contracts_chat,
GroupMember,text
contracts_chat,
5,what if group 2 is a computer
contracts_chat,
3,who went over 5
contracts_chat,
4,lets try something new
contracts_chat,
4,everyone except 1 did 5
contracts_chat,
5,and they wont respond to what we do
contracts_chat,
2,dont think it is
contracts_chat,
4,number 1 did 7
contracts_chat,
4,i feel like we are lozing money
contracts_chat,
5,go back to 5
contracts_chat,
1,if we drop back to 5 each we will make a bit more
contracts_chat,
2,last round we went up
contracts_chat,
3,lets do 5 now\
contracts_chat,
5,we all made more then
contracts_chat,
5,lets do 5
contracts_chat,
3,everyone start deducting 5 from whoever goes over
contracts_chat,
2,work as a group and we will get a better pay off #1
contracts_chat,
2,"if 5 doesnt work round 9, lets go back to 7"
contracts_chat,
4,ok
contracts_chat,
4,yup
contracts_chat,
1,sounds good
contracts_chat,
5,okay 
contracts_chat,
1,punish group 2 still
contracts_chat,
4,keep it at 5
contracts_chat,
5,first 5 then if we do worse back to 7
contracts_chat,
4,or all do what u did in round 6
contracts_chat,
2,yes
contracts_chat,
4,?
contracts_chat,
5,keep punishing group 2
contracts_chat,
3,doing 5 is more profitable...one of the #2 keeps putting in 10+ so thats the one we gotta punish  wit hdeductions
contracts_chat,
2,but we know #1 is going to be greedy so what do we do
contracts_chat,
3,"group 1 or group 2.  if they go over 5, deduct 5"
contracts_chat,
2,yes
contracts_chat,
5,is anyone decducting from group 2
contracts_chat,
1,5 it is
contracts_chat,
3,it will be too costly for them to do it again
contracts_chat,
4,promise this time?
contracts_chat,
4,so 5
contracts_chat,
4,then 7
contracts_chat,
3,we gotta go balls deep on that #2...like gangbang balls deep
contracts_chat,
2,hahaha
contracts_chat,
3,im doing what i said
contracts_chat,
5,hahaha
contracts_chat,
4,breathe
contracts_chat,
2,they are lieing so we put in less and they get a better pay off
contracts_chat,
5,so punish two with 7
contracts_chat,
2,agreed
contracts_chat,
5,and put in 5
contracts_chat,
2,that will teach him
contracts_chat,
4,so what do we do?
contracts_chat,
3,if we all deduct they will get a smaller payoff
contracts_chat,
3,5
contracts_chat,
GroupMember,text
contracts_chat,
5,that last ome sucked
contracts_chat,
2,clearly they arent following along
contracts_chat,
2,is anyone down for six each
contracts_chat,
3,is everyone deducting from group 2?
contracts_chat,
1,yeah theyre going crazy
contracts_chat,
2,i am deducting 
contracts_chat,
4,i am
contracts_chat,
3,the #2 are trying to fuck us over
contracts_chat,
2,should we invest less
contracts_chat,
2,yep
contracts_chat,
5,i put in 12 once as a decuction cz i was mad
contracts_chat,
3,lets do 3 or 4
contracts_chat,
5,are we just deducting 1
contracts_chat,
2,i put in 15
contracts_chat,
4,what would happen if we all did 6?
contracts_chat,
5,hahahaha
contracts_chat,
3,yea i put deduction of 20
contracts_chat,
2,lol
contracts_chat,
2,hahahaha
contracts_chat,
4, i deducted 5 and then 3
contracts_chat,
2,son of a bitch they are
contracts_chat,
2,"well the first round, we all did 6 and received 189 each"
contracts_chat,
2,so 3?
contracts_chat,
1,haha nice work 
contracts_chat,
2,or 4?
contracts_chat,
5,lets try 3. if it doesnt work 6
contracts_chat,
4,so how much shoul we go for
contracts_chat,
3,stick with 5
contracts_chat,
3,yea we gotta keep fuckin dem bitches
contracts_chat,
1,whats the benefit of going lower>?
contracts_chat,
1,oh wait
contracts_chat,
4,3 is so little thoug...
contracts_chat,
1,that was dumb
contracts_chat,
2,so 4
contracts_chat,
2,what does everyone think
contracts_chat,
1,4?
contracts_chat,
5,4 is good. they keep putting in more and more
contracts_chat,
2,they dont realize there hurting themselves bc we can deduct them
contracts_chat,
4,4 and then 7
contracts_chat,
4,i think we should try 6 the first round if it doesnt work do 5
contracts_chat,
3,fine
contracts_chat,
5,4 and then 7 unless 4 works
contracts_chat,
1,4 and then 7
contracts_chat,
4,cool
contracts_chat,
4,?
contracts_chat,
2,hopefully theyll catch on
contracts_chat,
2,ok so if we go below 163-167 go back to 5 for round two
contracts_chat,
1,okay 6 then 5
contracts_chat,
3,deduct 5 from group 2 when they go over
contracts_chat,
3,just stick to 4-6
contracts_chat,
4,yup
contracts_chat,
1,and put at least 8-10 deduction on group 2
contracts_chat,
2,alright
contracts_chat,
5,4 then 6 unless 4 wrosk
contracts_chat,
2,good plan
contracts_chat,
5,*works
contracts_chat,
4,GO TEAM GO
contracts_chat,
1,ok
contracts_chat,
2,lets go
contracts_chat,
4,yay team
contracts_chat,
5,go
contracts_chat,
1,lets do ittttt
contracts_chat,
2,high five
contracts_chat,
4,&&&
contracts_chat,
GroupMember,text
contracts_chat,
5,who keeps putting in 10
contracts_chat,
2,so muych for sticking to the plan
contracts_chat,
2,#3 did
contracts_chat,
2,is this the last round?
contracts_chat,
3,nah dat aint me...i think #5 did 
contracts_chat,
2,someone put 12 last round
contracts_chat,
4,should we try a lower number? cuz group 2 is getting like 180-190 per round even with deductions
contracts_chat,
5,n=wasnt me
contracts_chat,
3,3 rounds left
contracts_chat,
1,were falling apart
contracts_chat,
2,can we stick to a plan
contracts_chat,
3,if we go lower theyll make more
contracts_chat,
5,"mine said 10, 6,6,10,7"
contracts_chat,
2,what is going on
contracts_chat,
2,agreed with 3
contracts_chat,
2,thast what mine said too
contracts_chat,
4,should we try 5 each
contracts_chat,
3,just stick with 5
contracts_chat,
3,lol... invisible hand theory
contracts_chat,
4,so stick to 5?
contracts_chat,
4,kk
contracts_chat,
1,5
contracts_chat,
2,just tryna get to 2100 points
contracts_chat,
5,if you dont put in what we agree on i will deduct it
contracts_chat,
3,if everyone is deducting 5 from them they are losing 75 each round
contracts_chat,
1,this is going to end in a brawl between everyone
contracts_chat,
5,okay
contracts_chat,
2,agreed
contracts_chat,
4,so 5???
contracts_chat,
3,so really only making around 110
contracts_chat,
2,lets agree
contracts_chat,
2,yes 5
contracts_chat,
5,5
contracts_chat,
4,quick
contracts_chat,
3,yea 5
contracts_chat,
4,so we get paid the final total * .012?
contracts_chat,
1,yeah 5
contracts_chat,
2,yes
contracts_chat,
4,all rounds?
contracts_chat,
3,or 10
contracts_chat,
5,yes
contracts_chat,
2,if someone doesnt im putting 100 in my deduction
contracts_chat,
4,last round 7
contracts_chat,
2,i have plenty to spare
contracts_chat,
4,cool
contracts_chat,
3,5 it is
contracts_chat,
4,"5,5,7"
contracts_chat,
1,"5, 5, then 7?"
contracts_chat,
4,5
contracts_chat,
1,yeah 
contracts_chat,
GroupMember,text
contracts_chat,
2,everything went well in round 13
contracts_chat,
4,well guys its been real
contracts_chat,
2,why did u all deduct from me
contracts_chat,
4,"number 2, FOLLOW THE RULES"
contracts_chat,
5,not 14
contracts_chat,
2,i'll miss you all
contracts_chat,
3,that it has
contracts_chat,
3,member #2 dum
contracts_chat,
4,hahahaha
contracts_chat,
2,round 13 i put 5
contracts_chat,
1,atta girl number 2
contracts_chat,
5,5 is agreed
contracts_chat,
2,and got deducted 162 
contracts_chat,
5,last round lets make it count haha
contracts_chat,
4,have fun with your money!
contracts_chat,
1,damn
contracts_chat,
5,then follow the rules
contracts_chat,
4,"this time 7, last round"
contracts_chat,
2,round 13 i agreed....
contracts_chat,
2,im at 28+5=32
contracts_chat,
2,this is im letting loose
contracts_chat,
4,shweet
contracts_chat,
4,"it was supposed to be 5,5,7"
contracts_chat,
3,im at 100
contracts_chat,
3,lmao yea u put 12 in da honey pot... not going with da flow means ur gonna get deducted
contracts_chat,
5,lets do 7 then
contracts_chat,
1,its not gunna benefit you to let loose
contracts_chat,
3,nah i call free for all
contracts_chat,
2,thats bc i got deducted a round before
contracts_chat,
2,this is a free for all
contracts_chat,
4,100 dollars.....?
contracts_chat,
2,are you trying to get some deductions?
contracts_chat,
2,get ready to each lost 200 points
contracts_chat,
4,hahahaha
contracts_chat,
3,erryman for dem selves
contracts_chat,
3,haha of course im kidding
contracts_chat,
4,because u did NOT follow the rules
contracts_chat,
2,round 13
contracts_chat,
2,i put 5
contracts_chat,
1,wow
contracts_chat,
4,only 30 seconds...
contracts_chat,
3,u mad member #2
contracts_chat,
2,i did follow the rules
contracts_chat,
4,7 it is
contracts_chat,
1,this escalated quickly
contracts_chat,
4, go
contracts_chat,
5,7
contracts_chat,
2,17
contracts_chat,
2,camt wait for this
contracts_chat,
4,14
contracts_chat,
4,7
contracts_chat,
3,`0
contracts_chat,
4,byeee love you guys
contracts_chat,
4,7777
