contracts_punish,Period
contracts_chat,
3,alright i  think now that they know we like to go big so they have to play small....
contracts_chat,
5,yeah
contracts_chat,
1,true...
contracts_chat,
5,i went from 200+ to 170 something
contracts_chat,
1,"yeah, we're kinda screwing G2"
contracts_chat,
1,Oh well
contracts_chat,
3,so whats the game plan
contracts_chat,
3,?
contracts_chat,
3,whatever
contracts_chat,
1,Sucks for them
contracts_chat,
5,no
contracts_chat,
3,more money for us
contracts_chat,
5,sucks for us
contracts_chat,
5,if they start investing big we're gonna suffer
contracts_chat,
2,deduct 10 each?
contracts_chat,
1,true that
contracts_chat,
4,yeah
contracts_chat,
5,we need to chill
contracts_chat,
5,someoe make the executive decision
contracts_chat,
5,okay
contracts_chat,
3,okay
contracts_chat,
1,which is why we need to play it safe
contracts_chat,
3,you gotta know when to pull out
contracts_chat,
1,okay
contracts_chat,
3,thats the trick
contracts_chat,
4,so stay around 4-6 each?
contracts_chat,
5,actually do 4-6
contracts_chat,
1,yup
contracts_chat,
GroupMember,text
contracts_chat,
3,guess i went to far haha
contracts_chat,
2,how many deductions are you each willing to give that kid?
contracts_chat,
1,i was giving 10
contracts_chat,
1,"how many deductions did you get, total?"
contracts_chat,
5,we invested too little though
contracts_chat,
5,same
contracts_chat,
2,"me too, but should we up it?"
contracts_chat,
5,so you kinda did us one
contracts_chat,
3,i feel like hes not gonna change his answer
contracts_chat,
5,i'm only going to focus on that kid
contracts_chat,
3,and we're just losing money
contracts_chat,
1,if we were all giving 10 he is only get ~100 each time now
contracts_chat,
5,did you get fee
contracts_chat,
3,i got a lot but i ended up making the most that round
contracts_chat,
3,easy moneyy
contracts_chat,
1,we have to remember that 40+ is bad
contracts_chat,
1,32 is actually pretty optimal
contracts_chat,
4,yeah
contracts_chat,
1,because of diminishing returns
contracts_chat,
2,if we give 15 he'll get almost none
contracts_chat,
5,keep doing that and everyone will start investing a lot
contracts_chat,
1,"so if 3 hadn't gone nuts, that actually would have been a reasonable round"
contracts_chat,
5,so only give him 15?
contracts_chat,
3,is everyone willing to give up 15? i am
contracts_chat,
4,so 15 or 10
contracts_chat,
1,i say 15
contracts_chat,
2,15
contracts_chat,
3,i keep our group in check. they know we like to go high so they are forced to go low
contracts_chat,
4,okay
contracts_chat,
3,im giving us the advantage
contracts_chat,
5,yeah just focus on him. 
contracts_chat,
1,you're giving yourself the advantage
contracts_chat,
2,sounds good
contracts_chat,
3,fine i promise
contracts_chat,
1,"lets just stick to 4-5, and everyone does well"
contracts_chat,
3,ill go 4 all this round
contracts_chat,
5,6
contracts_chat,
GroupMember,text
contracts_chat,
5,that was good
contracts_chat,
2,is everyone deducting 15?
contracts_chat,
1,"alright, things are doing pretty good"
contracts_chat,
4,yeah
contracts_chat,
1,yeah
contracts_chat,
3,yes
contracts_chat,
5,yeah
contracts_chat,
1,I don't have any complaints
contracts_chat,
5,so
contracts_chat,
4,let's keep doing that? 4-5-6 range?
contracts_chat,
4,yup
contracts_chat,
5,hrmm
contracts_chat,
1,"this works, yeah"
contracts_chat,
3,k
contracts_chat,
1,What's up with 2?
contracts_chat,
2,do we keep doing that? he/she is only making like 30 per round
contracts_chat,
1,Why aren't they talking?
contracts_chat,
2,im a lone wolf
contracts_chat,
1,alright
contracts_chat,
4,lol
contracts_chat,
3,i just dont want him to walk away with more $$ than us
contracts_chat,
1,sounds good to me
contracts_chat,
5,what happens if we all invest 10 
contracts_chat,
1,bad shit
contracts_chat,
5,will we screw over group 2?
contracts_chat,
3,lets all invest 12
contracts_chat,
5,lol
contracts_chat,
5,well
contracts_chat,
5,he doesn't learn
contracts_chat,
5,or she
contracts_chat,
4,would that work?
contracts_chat,
1,"if we all invest 12, we'd probably go negative"
contracts_chat,
3,you dont think i wont do it?
contracts_chat,
5,IF you do I will invest 12
contracts_chat,
2,"yeah, theyre not going to change, so we might as well just take away as much as we can"
contracts_chat,
5,you'll make less
contracts_chat,
2,its not hurting us as  much
contracts_chat,
3,TRUE
contracts_chat,
4,wait so what are we doing
contracts_chat,
5,what if we put less tokens
contracts_chat,
5,put it in the calculator
contracts_chat,
1,investing 12 is just stupid
contracts_chat,
3,go low for me pretty please
contracts_chat,
5,at the begining
contracts_chat,
1,lets stick with what we're doing
contracts_chat,
3,ill go 7
contracts_chat,
2,they'd get more of the money
contracts_chat,
4,yeah lets keep doing 4-5-6
contracts_chat,
4,like 4?
contracts_chat,
5,nvm
contracts_chat,
1,"and if anyone goes nuts, dump on deductions"
contracts_chat,
1,4/5/06
contracts_chat,
5,yeah
contracts_chat,
5,yeah
contracts_chat,
GroupMember,text
contracts_chat,
4,okay last round was really good
contracts_chat,
1,getting a bit rough there
contracts_chat,
1,last round was decent
contracts_chat,
3,group 2 is getting greedy
contracts_chat,
2,anyone have suggestions or keep doing what we're doing?
contracts_chat,
3,so continue doing what we're doing? invest 5 deduct 15 from that clown?
contracts_chat,
1,yeah
contracts_chat,
3,like i told you guys
contracts_chat,
5,they are
contracts_chat,
4,if we stick to 4-5-6 it will be okay.
contracts_chat,
1,we could try all putting down 7 for one round
contracts_chat,
4,i guess
contracts_chat,
1,i say keep doing what we are doing
contracts_chat,
1,push them into a corner
contracts_chat,
3,see what happens when im not there to restore baqlance?
contracts_chat,
5,agreed
contracts_chat,
2,alright
contracts_chat,
3,ohkayyy
contracts_chat,
1,the problem is that you're inconsistent
contracts_chat,
5,the great equalizer 
contracts_chat,
2,go team
contracts_chat,
3,alright lets all put 7
contracts_chat,
1,"if every one of us put down 7, we could force them to drop their contribution"
contracts_chat,
3,PUT 7 IN THE NEXT TWO ROUNDS
contracts_chat,
4,but we'd get low returns for a round right?
contracts_chat,
1,"for one round, yeah"
contracts_chat,
5,yeah probably
contracts_chat,
1,but after that everything's golden
contracts_chat,
5,maybe
contracts_chat,
4,hahaha risky
contracts_chat,
1,let's try it
contracts_chat,
5,maybe they'll fight back
contracts_chat,
1,what do we have to lose?
contracts_chat,
4,$ 
contracts_chat,
5,money
contracts_chat,
1,not much $
contracts_chat,
5,ok
contracts_chat,
GroupMember,text
contracts_chat,
5,I told you group 2 might fight back
contracts_chat,
1,"well, that guy called us on that"
contracts_chat,
3,i think they know to play low now
contracts_chat,
1,"probably next round, they'll low-ball"
contracts_chat,
5,lets just deduct 10 from that kid this time
contracts_chat,
3,i gave him a lot of deduction points
contracts_chat,
1,same
contracts_chat,
2,okay
contracts_chat,
5,yeah it wouldbe better off if we played it safe
contracts_chat,
1,okay
contracts_chat,
4,so let's bet in the 5-6-7 range?
contracts_chat,
1,sure
contracts_chat,
3,okay
contracts_chat,
3,wait
contracts_chat,
5,i'd say 4-6
contracts_chat,
5,unless he pulls a good one on us
contracts_chat,
3,group 2
contracts_chat,
5,and puts in like 5 tokens
contracts_chat,
3,has been investing 15-19
contracts_chat,
5,yeah
contracts_chat,
3,lets say they invest low ~13
contracts_chat,
3,if we each invest 6
contracts_chat,
3,thats optimal
contracts_chat,
1,yup
contracts_chat,
5,7 is too high
contracts_chat,
4,ok
contracts_chat,
1,i think we should do 10 again anyways to prove a point
contracts_chat,
5,last round guys
contracts_chat,
5,let's do it
contracts_chat,
4,so 5-6 everyone?
contracts_chat,
5,b/c i don't see why they wouldn't all put in 12
contracts_chat,
1,yup\
contracts_chat,
3,so 6 or 7?
contracts_chat,
5,6
contracts_chat,
4,let's all click continue
contracts_chat,
2,yeah they might all do it
contracts_chat,
2,ready break
contracts_chat,
5,lets put nothing in the account
contracts_chat,
3,sounds fun
contracts_chat,
5,so that the total payoff is
contracts_chat,
5,max
contracts_chat,
2,that screws us over
