treatment,treatment_factor,session,period,groupID,text,keep,messagecount,wordcount,count_g2,count_g2_percent
1,Zero,2,3,4,what about deductions?,,38,3,1,2.63
1,Zero,2,3,1,if someone puts in more than 5 deduct to keep it even,,38,12,1,2.63
1,Zero,2,3,3,thats fair,,38,2,1,2.63
1,Zero,2,3,2,0,,38,1,1,2.63
1,Zero,2,3,5,I don't really see the point of deductions...,,38,8,1,2.63
1,Zero,2,3,2,"nope, number 1 seems like an instigator",,38,7,1,2.63
1,Zero,2,3,5,ya,,38,1,1,2.63
1,Zero,2,3,2,keep putting in 5,,38,4,1,2.63
1,Zero,2,3,5,So 0 works for me,,38,5,1,2.63
1,Zero,2,3,2,me too,,38,2,1,2.63
1,Zero,2,3,3,but he misunderstood at first,,38,5,1,2.63
1,Zero,2,3,2,thats the best way for the mosst people to make the most moeny,,38,13,1,2.63
1,Zero,2,3,3,yea if we all stick to initial numbers then no deductions are necisarry',,38,13,1,2.63
1,Zero,2,3,1,I did it the first time because i didnt know,,38,10,1,2.63
1,Zero,2,3,2,thats fine ,,38,3,1,2.63
1,Zero,2,3,3,arnt,,38,1,1,2.63
1,Zero,2,5,3,good job everyone,,38,3,5,13.16
1,Zero,2,5,1,everyone take alook at our packet on page 9,,38,9,5,13.16
1,Zero,2,5,3,I think we should invest 8 each,,38,7,5,13.16
1,Zero,2,5,2,"fantastic, good job guys]",,38,4,5,13.16
1,Zero,2,5,1,if our total invenstment is 40,,38,6,5,13.16
1,Zero,2,5,4,so why did the final payoff go down if we all successfully put in 5?,,38,15,5,13.16
1,Zero,2,5,3,because of group 2,,38,4,5,13.16
1,Zero,2,5,1,our payoff from The Account is about 600,,38,8,5,13.16
1,Zero,2,5,3,yea 8 each maximizes payoff,,38,5,5,13.16
1,Zero,2,5,5,No because group 3 is investing more...,,38,7,5,13.16
1,Zero,2,5,5,Group 2 I mean,,38,4,5,13.16
1,Zero,2,5,5,should we lower our investment,,38,5,5,13.16
1,Zero,2,5,2,cus your payoff is a ratio of your input,,38,9,5,13.16
1,Zero,2,5,5,It counts their investment too,,38,5,5,13.16
1,Zero,2,5,1,if group 2 raises above 15 we have to increase because right now everone in the room is paying 5 so it is even,,38,24,5,13.16
1,Zero,2,5,5,we have to account for that,,38,6,5,13.16
1,Zero,2,5,1,yes we do,,38,3,5,13.16
1,Zero,2,5,2,"no, there is no better equilibreum",,38,6,5,13.16
1,Zero,2,5,4,okiedoke,,38,1,5,13.16
1,Zero,2,5,1,but if we do account for it,,38,7,5,13.16
1,Zero,2,5,1,there are only 3 members in group 2,,38,8,5,13.16
1,Zero,2,5,2,steadfast yall,,38,2,5,13.16
1,Zero,2,5,4,5 it is,,38,3,5,13.16
1,Zero,2,5,1,agreed,,38,1,5,13.16
1,Zero,2,5,1,then we can put a number in together that will factor that in to the equation,,38,16,5,13.16
1,Zero,2,5,3,we can go like to 48 and account for their investments,,38,11,5,13.16
1,Zero,2,5,3,"we got more at first because group 2 put in less of the payoff, but what we have going on is optimal",,38,22,5,13.16
1,Zero,2,5,5,sounds good,,38,2,5,13.16
1,Zero,2,5,5,Which number then? ,,38,4,5,13.16
1,Zero,2,5,2,8,,38,1,5,13.16
1,Zero,2,5,3,9 or 10 each?,,38,4,5,13.16
1,Zero,2,5,2,exactly,,38,1,5,13.16
1,Zero,2,5,1,8,,38,1,5,13.16
1,Zero,2,5,3,8 is too lwo,,38,4,5,13.16
1,Zero,2,5,5,I vote 8,,38,3,5,13.16
1,Zero,2,5,1,let's just try it,,38,4,5,13.16
1,Zero,2,5,1,8,,38,1,5,13.16
1,Zero,2,5,5,9 or 10 is way too high,,38,7,5,13.16
1,Zero,2,7,3,group 2 keeps overinvestiong,,31,4,5,16.13
1,Zero,2,7,3,over investing,,31,2,5,16.13
1,Zero,2,7,5,Should we go down to 7 to accomodate them? ,,31,10,5,16.13
1,Zero,2,7,5,what would happen if all of us invest 0 except for 1 person investing 12,,31,15,5,16.13
1,Zero,2,7,1,I think so,,31,3,5,16.13
1,Zero,2,7,2,oooooohhhhhh kill 'em,,31,3,5,16.13
1,Zero,2,7,2,me too,,31,2,5,16.13
1,Zero,2,7,1,it worked for us earlier,,31,5,5,16.13
1,Zero,2,7,3,they stay around 24,,31,4,5,16.13
1,Zero,2,7,5,would that person cash in for a lot,,31,8,5,16.13
1,Zero,2,7,3,unless we take turns being that person...,,31,7,5,16.13
1,Zero,2,7,2,doesnt matter keep investin 5,,31,5,5,16.13
1,Zero,2,7,1,everyone would earn 0 except that one kid and group 2 would destroy us,,31,14,5,16.13
1,Zero,2,7,1,yeah let's go with 7,,31,5,5,16.13
1,Zero,2,7,5,"Well they started low and then went 25, 19, 24",,31,10,5,16.13
1,Zero,2,7,5,oh,,31,1,5,16.13
1,Zero,2,7,3,actually no it wouldn't work,,31,5,5,16.13
1,Zero,2,7,5,ok,,31,1,5,16.13
1,Zero,2,7,5,7 work for everyone? ,,31,5,5,16.13
1,Zero,2,7,3,yeah so 5 it is,,31,5,5,16.13
1,Zero,2,7,1,yes 7,,31,2,5,16.13
1,Zero,2,7,1,keep it at 5,,31,4,5,16.13
1,Zero,2,7,2,no becaus net would be no different from us all puttting in 5 fro those 5 rounds,,31,17,5,16.13
1,Zero,2,7,2,yes 7,,31,2,5,16.13
1,Zero,2,7,3,ok,,31,1,5,16.13
1,Zero,2,7,2,so keep the 5,,31,4,5,16.13
1,Zero,2,7,3,yeah,,31,1,5,16.13
1,Zero,2,7,2,if they keep going up we should also try 6,,31,10,5,16.13
1,Zero,2,7,5,alright,,31,1,5,16.13
1,Zero,2,7,2,7 is good,,31,3,5,16.13
1,Zero,2,7,5,I agree but 7 for now? ,,31,7,5,16.13
1,Zero,2,9,2,Lets invest 6,,36,3,9,25
1,Zero,2,9,1,7 appeared to work better,,36,5,9,25
1,Zero,2,9,5,Should we still do 7?,,36,5,9,25
1,Zero,2,9,4,we should all invest 8 instead of 6.,,36,8,9,25
1,Zero,2,9,3,why 8,,36,2,9,25
1,Zero,2,9,5,No 8 is too much our payoff will go down,,36,10,9,25
1,Zero,2,9,3,"we got this, what is there left to say?",,36,9,9,25
1,Zero,2,9,4,instead of 7 i mean.,,36,5,9,25
1,Zero,2,9,1,I think we should have assigned nymbers to each person,,36,10,9,25
1,Zero,2,9,2,Because group 2 never invests below 10,,36,7,9,25
1,Zero,2,9,4,but the total payoff is higher than when we all invested 7.,,36,12,9,25
1,Zero,2,9,1,"I think 2 people should do 6, and the rest 7",,36,11,9,25
1,Zero,2,9,1,if group 2 raises it to above 15 twice in a row we shoud all raise to 6 to keep it even,,36,22,9,25
1,Zero,2,9,3,i agree,,36,2,9,25
1,Zero,2,9,1,which 2 people then?,,36,4,9,25
1,Zero,2,9,2,"nutin' lets keep up the good work, git muny",,36,9,9,25
1,Zero,2,9,2,"nope, 5",,36,2,9,25
1,Zero,2,9,4,okay let's try this. i can do 6.,,36,8,9,25
1,Zero,2,9,2,why fix what aint broken,,36,5,9,25
1,Zero,2,9,1,okay,,36,1,9,25
1,Zero,2,9,3,if they raise it shouldn't affect us too much,,36,9,9,25
1,Zero,2,9,2,me too,,36,2,9,25
1,Zero,2,9,3,if we all do we'll all make less,,36,8,9,25
1,Zero,2,9,1,because if they all raise to 12 we will lose money,,36,11,9,25
1,Zero,2,9,3,ok so 2 and 4 are doing 6,,36,8,9,25
1,Zero,2,9,1,okay so person 4 and 2 do 6,,36,8,9,25
1,Zero,2,9,1,a lot of money,,36,4,9,25
1,Zero,2,9,1,and everyone else is 7,,36,5,9,25
1,Zero,2,9,5,Okay let's try this.,,36,4,9,25
1,Zero,2,9,3,sounds good,,36,2,9,25
1,Zero,2,9,2,ok,,36,1,9,25
1,Zero,2,9,1,good,,36,1,9,25
1,Zero,2,9,3,but I really dont think they will,,36,7,9,25
1,Zero,2,9,5,And if it works we can switch it around next time,,36,11,9,25
1,Zero,2,9,2,its working great lets keep up the good work,,36,9,9,25
1,Zero,2,9,2,ok,,36,1,9,25
1,Zero,2,11,1,that last one worked well,,31,5,8,25.81
1,Zero,2,11,3,group 2 is all over the place,,31,7,8,25.81
1,Zero,2,11,1,yeah they,,31,2,8,25.81
1,Zero,2,11,4,LOLS.,,31,1,8,25.81
1,Zero,2,11,1,are,,31,1,8,25.81
1,Zero,2,11,1,when they keep it low,,31,5,8,25.81
1,Zero,2,11,1,we do better,,31,3,8,25.81
1,Zero,2,11,3,we have been in 35 range the whole time,,31,9,8,25.81
1,Zero,2,11,5,Should we all do 7 then? ,,31,7,8,25.81
1,Zero,2,11,5,im making bank over here,,31,5,8,25.81
1,Zero,2,11,3,they go form 24-9,,31,4,8,25.81
1,Zero,2,11,5,group 2 is crazy unpredictable..,,31,5,8,25.81
1,Zero,2,11,3,yup,,31,1,8,25.81
1,Zero,2,11,3,can they talk to each other?,,31,6,8,25.81
1,Zero,2,11,2,"yup, lovin it",,31,3,8,25.81
1,Zero,2,11,1,no they cant,,31,3,8,25.81
1,Zero,2,11,5,No they can't,,31,3,8,25.81
1,Zero,2,11,3,ohh,,31,1,8,25.81
1,Zero,2,11,5,so what do you guys want to do,,31,8,8,25.81
1,Zero,2,11,1,I liked the 7 and 6 idea,,31,7,8,25.81
1,Zero,2,11,3,6,,31,1,8,25.81
1,Zero,2,11,2,switch it up,,31,3,8,25.81
1,Zero,2,11,1,6?,,31,1,8,25.81
1,Zero,2,11,2,who is playing 6,,31,4,8,25.81
1,Zero,2,11,3,if all 5 of us do 6 then we have 30,,31,11,8,25.81
1,Zero,2,11,1,okay ,,31,2,8,25.81
1,Zero,2,11,5,Should we all do 6?,,31,5,8,25.81
1,Zero,2,11,1,let's do 6 then,,31,4,8,25.81
1,Zero,2,11,2,6 for all then,,31,4,8,25.81
1,Zero,2,11,5,Okay I agree.,,31,3,8,25.81
1,Zero,2,11,3,yea,,31,1,8,25.81
1,Zero,2,13,1,should we stick with 6,,32,5,7,21.88
1,Zero,2,13,5,Group 2 is once again overinvesting,,32,6,7,21.88
1,Zero,2,13,3,Group 2 is screwing us,,32,5,7,21.88
1,Zero,2,13,1,or try 7 again,,32,4,7,21.88
1,Zero,2,13,5,Yeah I vote we stick with 6,,32,7,7,21.88
1,Zero,2,13,2,6 works,,32,2,7,21.88
1,Zero,2,13,1,6,,32,1,7,21.88
1,Zero,2,13,1,okay,,32,1,7,21.88
1,Zero,2,13,4,kk.,,32,1,7,21.88
1,Zero,2,13,5,i dont like group two investing so much,,32,8,7,21.88
1,Zero,2,13,3,i feel like they are getitng more money than us,,32,10,7,21.88
1,Zero,2,13,1,"its the last 2 rounds and i guarunte some of group 2 is going to put 12, we should all raise to 12 to maximize money",,32,26,7,21.88
1,Zero,2,13,1,over group 2,,32,3,7,21.88
1,Zero,2,13,1,we would all make the same,,32,6,7,21.88
1,Zero,2,13,3,if we all go to twelve we get negative money,,32,10,7,21.88
1,Zero,2,13,5,"Kind of frustrating, yeah",,32,4,7,21.88
1,Zero,2,13,2,"that deosnt maximize, that minimizes",,32,5,7,21.88
1,Zero,2,13,2,thank you 3,,32,3,7,21.88
1,Zero,2,13,1,11?,,32,1,7,21.88
1,Zero,2,13,5,hopefully they'll go lower this time,,32,6,7,21.88
1,Zero,2,13,4,well yeah if we all 6 and that one person overinvests.,,32,11,7,21.88
1,Zero,2,13,2,no,,32,1,7,21.88
1,Zero,2,13,5,what if we invest less then,,32,6,7,21.88
1,Zero,2,13,2,its the same principle,,32,4,7,21.88
1,Zero,2,13,3,then we get less of the payoff,,32,7,7,21.88
1,Zero,2,13,5,curse u math,,32,3,7,21.88
1,Zero,2,13,2,you'll get proportionaltely less and do them a favor by keeping the total low,,32,14,7,21.88
1,Zero,2,13,1,we have to increase,,32,4,7,21.88
1,Zero,2,13,5,so 6? ,,32,3,7,21.88
1,Zero,2,13,2,6 it is,,32,3,7,21.88
1,Zero,2,13,2,we dont have to do anything ,,32,7,7,21.88
1,Zero,2,13,2,5,,32,1,7,21.88
1,Zero,2,15,1,6?,,22,1,3,13.64
1,Zero,2,15,5,6 again.,,22,2,3,13.64
1,Zero,2,15,3,alright last round,,22,3,3,13.64
1,Zero,2,15,5,last round go big or go home,,22,7,3,13.64
1,Zero,2,15,1,yes. good,,22,2,3,13.64
1,Zero,2,15,3,it seems like 2 gets the hang of it,,22,9,3,13.64
1,Zero,2,15,1,11?,,22,1,3,13.64
1,Zero,2,15,2,"that doesnt make sense, we just talked about this...",,22,9,3,13.64
1,Zero,2,15,1,ha lets hope,,22,3,3,13.64
1,Zero,2,15,5,I hope they stick to what they're doing haha,,22,9,3,13.64
1,Zero,2,15,5,im listening to 3 hes the only one making sense in this group,,22,13,3,13.64
1,Zero,2,15,3,but what if we did 5,,22,6,3,13.64
